City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
436,Inhambane,75.2,scattered clouds,-23.86,35.38,Oceano
438,Bima,77.04,light rain,-8.47,118.72,Lambitu Hotel
439,Araouane,88.74,overcast clouds,18.9,-3.53,
442,Dwarka,82.08,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
448,Bafoulabe,87.19,overcast clouds,13.81,-10.83,
449,Port Blair,80.4,overcast clouds,11.67,92.75,Fortune Resort Bay Island
452,Gariaband,75.2,haze,20.64,82.06,HOTEL CITY REGENCY
458,Nokaneng,82.87,few clouds,-19.67,22.27,
467,Santa Cruz De La Palma,82.4,clear sky,28.68,-17.76,H10 Taburiente Playa
468,Outjo,82.15,scattered clouds,-20.12,16.15,Kai-Oms Backpackers Lodge
469,Howard Springs,82.4,scattered clouds,-12.5,131.05,buffalo beach hostel
473,Tha Chang,77.94,light rain,9.26,99.19,สุริยาค้าไม้
474,Pitimbu,86.0,scattered clouds,-7.47,-34.81,Reserva do Abiaí
475,Vila Velha,75.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
476,Yaan,80.06,overcast clouds,7.38,8.57,
477,Edd,83.88,clear sky,13.93,41.69,
482,Jamame,78.78,overcast clouds,0.07,42.75,
485,Paita,78.8,clear sky,-5.09,-81.11,Hotel Náutico de Paita
502,Doha,82.4,clear sky,25.29,51.53,Doha Marriott Hotel
504,San Quintin,77.68,clear sky,30.48,-115.95,Old Mill Hotel
509,El Alto,78.8,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
510,Bata,75.2,broken clouds,1.86,9.77,Hotel Carmen
515,Kidal,80.67,few clouds,18.44,1.41,
519,Kudahuvadhoo,82.8,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
523,Umm Lajj,80.46,overcast clouds,25.02,37.27,Moon light Furnished Units
526,Mana,85.8,overcast clouds,5.66,-53.78,LE SAMANA
528,Mitu,76.28,light rain,1.2,-70.17,
529,Panama City,84.2,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
