City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
81,Krasnoselkup,RU,65.7,82.47,22.48,97,96,15.39,overcast clouds
82,Esmeralda,CU,21.85,-78.12,77.0,94,20,5.82,few clouds
83,East London,ZA,-33.02,27.91,60.8,100,20,6.93,few clouds
84,Katangli,RU,51.71,143.23,44.74,89,100,8.79,light rain
85,Broome,US,42.25,-75.83,33.01,80,75,13.87,broken clouds
86,Progreso,MX,21.28,-89.67,75.0,84,52,13.27,broken clouds
87,Antofagasta,CL,-23.65,-70.4,59.0,82,40,10.29,scattered clouds
88,Havoysund,NO,71.0,24.66,44.6,75,100,42.5,overcast clouds
89,Chuy,UY,-33.7,-53.46,51.51,86,13,2.57,few clouds
90,Mathathane,BW,-22.27,28.75,65.08,83,11,17.11,few clouds
91,Seydi,TM,39.48,62.91,60.08,26,0,7.43,clear sky
92,Adrar,MR,20.5,-10.07,75.52,19,100,9.75,overcast clouds
93,Half Moon Bay,US,37.46,-122.43,64.0,77,5,5.97,clear sky
94,Patnos,TR,39.23,42.86,42.8,45,75,1.39,broken clouds
95,Camacha,PT,33.08,-16.33,66.2,88,20,2.24,few clouds
96,Evensk,RU,61.95,159.23,24.1,92,100,3.53,overcast clouds
97,Castro,BR,-24.79,-50.01,50.2,89,52,9.82,broken clouds
98,Kaitangata,NZ,-46.28,169.85,54.0,65,84,8.01,broken clouds
99,Yate,GB,51.54,-2.42,61.0,91,99,5.99,light rain
100,Port Hardy,CA,50.7,-127.42,53.6,93,90,2.24,overcast clouds
101,Shu,KZ,43.6,73.76,52.72,40,90,2.15,overcast clouds
102,Ostrovnoy,RU,68.05,39.51,39.2,87,100,24.23,overcast clouds
103,Kuusamo,FI,65.97,29.18,35.6,93,90,13.87,overcast clouds
104,Cesis,LV,57.31,25.27,42.01,83,0,4.0,clear sky
105,Codrington,AU,-38.27,141.97,75.25,64,14,11.25,few clouds
106,Bulembu,SZ,-25.97,31.13,66.99,93,90,8.05,mist
107,Clarence Town,AU,-32.58,151.78,71.6,53,54,18.34,broken clouds
108,Narsaq,GL,60.92,-46.05,17.6,52,0,4.7,clear sky
109,Yar-Sale,RU,66.83,70.83,23.54,96,56,11.36,broken clouds
110,Akyab,MM,20.15,92.9,81.37,79,99,6.26,light rain
111,Constitucion,CL,-35.33,-72.42,51.57,89,7,6.82,clear sky
112,Coxim,BR,-18.51,-54.76,73.53,52,0,7.58,clear sky
113,Albany,US,42.6,-73.97,39.99,65,91,3.0,overcast clouds
114,Saint Anthony,US,45.02,-93.22,28.99,63,1,4.7,clear sky
115,Lakes Entrance,AU,-37.88,147.98,70.0,69,36,7.0,scattered clouds
116,Laguna,US,38.42,-121.42,64.4,62,1,2.08,clear sky
117,Lokosovo,RU,61.13,74.82,26.31,97,68,10.94,broken clouds
118,San Quintin,MX,30.48,-115.95,66.04,66,0,3.89,clear sky
119,Westport,US,41.14,-73.36,46.4,61,1,12.75,clear sky
120,Khatanga,RU,71.97,102.5,8.6,94,99,7.7,overcast clouds
121,Tuktoyaktuk,CA,69.45,-133.04,12.2,78,75,18.34,light snow
122,Kruisfontein,ZA,-34.0,24.73,63.0,85,13,1.99,few clouds
123,Paso De Los Toros,UY,-32.82,-56.52,52.81,79,0,7.63,clear sky
124,Sakakah,SA,29.97,40.21,68.0,42,40,4.7,dust
125,Boa Vista,BR,2.82,-60.67,75.2,83,75,4.7,broken clouds
126,Fortuna,US,40.6,-124.16,50.0,93,1,8.05,clear sky
127,Cabo San Lucas,MX,22.89,-109.91,79.0,78,0,1.99,clear sky
128,Mahebourg,MU,-20.41,57.7,73.4,60,75,6.93,broken clouds
129,Darhan,MN,49.49,105.92,27.59,75,0,7.18,clear sky
130,Erdaojiang,CN,41.78,126.03,43.0,50,26,15.59,scattered clouds
131,Tasiilaq,GL,65.61,-37.64,26.6,58,0,4.7,clear sky
132,Dakar,SN,14.69,-17.44,75.2,88,0,12.46,clear sky
133,Filadelfia,US,39.95,-75.16,45.0,56,79,4.0,broken clouds
134,Beloha,MG,-25.17,45.05,71.31,71,2,15.35,clear sky
135,Kavaratti,IN,10.57,72.64,84.2,79,40,4.7,scattered clouds
136,Upernavik,GL,72.79,-56.15,16.27,92,98,4.52,overcast clouds
137,Sitka,US,57.05,-135.33,55.4,87,90,36.91,heavy intensity rain
138,Takoradi,GH,4.88,-1.76,77.14,90,51,5.23,broken clouds
139,Korla,CN,41.76,86.15,48.61,47,0,7.81,clear sky
140,Hami,CN,42.8,93.45,53.17,36,21,5.82,few clouds
141,Beterou,BJ,9.2,2.26,71.33,53,100,0.27,overcast clouds
142,Orikum,AL,40.33,19.47,63.07,60,100,2.51,overcast clouds
143,Hirara,JP,24.8,125.28,82.4,61,75,12.75,broken clouds
144,Avarua,CK,-21.21,-159.78,77.0,88,91,11.41,light rain
145,Airai,TL,-8.93,125.41,80.1,45,96,3.98,overcast clouds
146,Mancora,PE,-4.11,-81.05,65.88,80,100,10.6,overcast clouds
147,Lagoa,PT,39.05,-27.98,62.24,67,20,16.71,few clouds
148,Odienne,CI,9.51,-7.57,71.28,66,0,2.66,clear sky
